	mc
WMC2375689	214
WMC2375690	187
WMC2375691	207
WMC2375693	190
WMC2375697	190
WMC2375698	167
WMC2375705	111
WMC2375706	216
WMC2375708	174
WMC2375709	162
WMC2375710	131
WMC2375711	89
WMC2375712	165
WMC2375713	187
WMC2375714	86
WMC2375715	217
WMC2375716	120
WMC2375718	163
WMC2375719	201
WMC2375720	218
WMC2375721	162
WMC2375723	182
WMC2375724	208
WMC2375726	101
WMC2375727	91
WMC2375730	185
WMC2375731	213
WMC2375732	187
WMC2375733	189
WMC2375734	211
WMC2375735	93
WMC2375737	209
WMC2375738	186
WMC2375739	189
WMC2375740	196
WMC2375741	187
WMC2375743	162
WMC2375744	163
WMC2375745	207
WMC2375746	115
WMC2375749	93
WMC2375751	146
WMC2375755	78
WMC2375756	181
WMC2375758	205
WMC2375759	88
WMC2375760	134
WMC2375761	166
WMC2375764	209
WMC2375766	200
WMC2375767	86
WMC2375768	214
WMC2375769	218
WMC2375770	170
WMC2375772	175
WMC2375773	93
WMC2375774	166
WMC2375775	80
WMC2375776	114
WMC2375777	216
WMC2375782	216
WMC2375785	197
WMC2375786	183
WMC2375788	182
WMC2375789	82
WMC2375792	179
WMC2375793	82
WMC2375795	99
WMC2375797	166
WMC2375798	207
WMC2375800	162
WMC2375801	159
WMC2375803	204
WMC2375804	204
WMC2375806	196
WMC2375807	8
WMC2375808	162
WMC2375813	209
WMC2375814	158
WMC2375815	83
WMC2375816	158
WMC2375818	208
WMC2375820	89
WMC2375821	169
WMC2375822	215
WMC2375823	147
WMC2375824	164
WMC2375825	167
WMC2375829	105
WMC2375830	169
WMC2375831	184
WMC2375833	81
WMC2375835	208
WMC2375836	169
WMC2375838	88
WMC2375839	176
WMC2375840	200
WMC2375841	182
WMC2375845	74
WMC2375847	128
WMC2375848	174
WMC2375849	180
WMC2375851	86
WMC2375852	170
WMC2375853	171
WMC2375855	184
WMC2375858	128
WMC2375860	182
WMC2375861	209
WMC2375862	112
WMC2375863	209
WMC2375865	166
WMC2375866	159
WMC2375867	171
WMC2375870	212
WMC2375871	204
WMC2375872	94
WMC2375874	203
WMC2375875	162
WMC2375877	93
WMC2375879	181
WMC2375881	114
WMC2375883	201
WMC2375886	171
WMC2375887	195
WMC2375888	215
WMC2375889	114
WMC2375890	82
WMC2375892	214
WMC2375895	218
WMC2375896	89
WMC2375898	78
WMC2375899	165
WMC2375903	161
WMC2375904	73
WMC2375906	163
WMC2375908	166
WMC2375909	189
WMC2375910	188
WMC2375911	183
WMC2375912	164
WMC2375913	164
WMC2375914	167
WMC2375916	210
WMC2375918	184
WMC2375922	187
WMC2375924	179
WMC2375925	218
WMC2375926	204
WMC2375927	210
WMC2375930	108
WMC2375931	217
WMC2375932	159
WMC2375933	208
WMC2375934	205
WMC2375935	73
WMC2375937	168
WMC2375939	93
WMC2375940	162
WMC2375942	183
WMC2375944	162
WMC2375945	77
WMC2375947	203
WMC2375949	93
WMC2375951	176
WMC2375953	213
WMC2375954	204
WMC2375955	130
WMC2375956	210
WMC2375957	211
WMC2375958	216
WMC2375960	111
WMC2375961	167
WMC2375962	207
WMC2375963	209
WMC2375965	209
WMC2375966	186
