	mc
WMC3424606	51
WMC3424608	30
WMC3424610	48
WMC3424611	34
WMC3424612	10
WMC3424613	22
WMC3424614	51
WMC3424615	25
WMC3424616	44
WMC3424620	38
WMC3424623	39
WMC3424624	37
WMC3424625	29
WMC3424626	31
WMC3424627	27
WMC3424628	37
WMC3424629	25
WMC3424632	24
WMC3424633	17
WMC3424635	40
WMC3424636	37
WMC3424637	35
WMC3424638	46
WMC3424640	37
WMC3424641	39
WMC3424643	40
WMC3424644	41
WMC3424645	38
WMC3424646	38
WMC3424649	51
WMC3424650	20
WMC3424651	37
WMC3424652	12
WMC3424653	35
WMC3424659	12
WMC3424661	31
WMC3424662	7
WMC3424665	41
WMC3424668	46
WMC3424673	31
WMC3424674	25
WMC3424675	28
WMC3424676	4
WMC3424679	40
WMC3424681	26
WMC3424687	15
WMC3424691	32
WMC3424693	7
WMC3424694	13
WMC3424695	22
WMC3424697	28
WMC3424699	4
WMC3424700	24
WMC3424702	39
WMC3424704	27
WMC3424707	47
WMC3424708	32
WMC3424709	38
WMC3424710	4
WMC3424711	28
WMC3424713	26
WMC3424714	37
WMC3424715	25
WMC3424716	25
WMC3424717	23
WMC3424718	34
WMC3424720	36
WMC3424723	7
WMC3424724	5
WMC3424725	33
WMC3424726	36
WMC3424727	51
WMC3424730	51
WMC3424733	26
WMC3424734	34
WMC3424735	39
WMC3424737	37
WMC3424738	31
WMC3424740	5
WMC3424742	33
WMC3424743	48
WMC3424744	31
WMC3424745	49
WMC3424747	21
WMC3424750	6
WMC3424755	51
WMC3424757	2
WMC3424758	21
WMC3424762	38
WMC3424763	36
WMC3424767	45
WMC3424768	41
WMC3424777	23
WMC3424781	4
WMC3424782	42
WMC3424783	52
WMC3424789	20
WMC3424790	29
WMC3424791	25
WMC3424794	27
WMC3424795	47
WMC3424796	36
WMC3424797	4
WMC3424798	28
WMC3424799	5
WMC3424802	36
WMC3424804	18
WMC3424805	27
WMC3424807	31
WMC3424809	42
WMC3424811	31
WMC3424813	38
WMC3424815	34
WMC3424817	9
WMC3424818	18
WMC3424819	33
WMC3424824	11
WMC3424827	36
WMC3424828	36
WMC3424832	22
WMC3424836	38
WMC3424838	18
WMC3424839	44
WMC3424842	41
WMC3424843	38
WMC3424844	50
WMC3424846	44
WMC3424851	9
WMC3424852	42
WMC3424855	26
WMC3424856	22
WMC3424858	7
WMC3424859	49
WMC3424862	37
WMC3424863	40
WMC3424864	25
WMC3424866	49
WMC3424867	35
WMC3424871	31
WMC3424873	26
WMC3424876	51
WMC3424877	34
WMC3424881	28
WMC3424882	41
WMC3424883	8
WMC3424888	28
WMC3424891	17
WMC3424892	41
WMC3424894	54
WMC3424898	30
WMC3424899	28
WMC3424900	44
WMC3424901	31
WMC3424903	31
WMC3424904	3
WMC3424907	37
WMC3424908	28
WMC3424909	19
WMC3424911	16
WMC3424912	35
WMC3424915	33
WMC3424917	25
WMC3424919	44
WMC3424921	22
WMC3424923	36
WMC3424924	39
WMC3424926	15
WMC3424929	35
WMC3424931	50
WMC3424935	7
WMC3424940	34
WMC3424942	5
WMC3424943	40
WMC3424944	28
WMC3424946	34
WMC3424947	39
WMC3424954	21
WMC3424955	48
WMC3424956	38
WMC3424957	25
WMC3424958	44
WMC3424959	4
WMC3424960	24
WMC3424961	24
WMC3424965	24
WMC3424966	39
WMC3424969	26
WMC3424970	10
WMC3424972	21
WMC3424975	42
WMC3424977	4
WMC3424979	33
WMC3424981	25
WMC3424982	37
WMC3424987	28
WMC3424989	30
WMC3424992	31
WMC3424995	12
WMC3424996	12
WMC3424997	31
WMC3424999	26
WMC3425003	4
WMC3425004	21
WMC3425005	41
WMC3425006	23
WMC3425008	40
WMC3425009	27
WMC3425011	31
WMC3425013	21
WMC3425017	22
WMC3425019	46
WMC3425021	32
WMC3425025	41
WMC3425026	51
WMC3425029	42
WMC3425033	43
WMC3425034	45
WMC3425036	19
WMC3425037	41
WMC3425039	29
WMC3425040	3
WMC3425041	2
WMC3425046	27
WMC3425049	18
WMC3425051	36
WMC3425055	37
WMC3425056	38
WMC3425057	30
WMC3425060	48
WMC3425062	7
WMC3425063	11
WMC3425067	50
WMC3425069	24
WMC3425071	10
WMC3425072	28
WMC3425074	5
WMC3425075	15
WMC3425076	21
WMC3425078	6
WMC3425079	17
WMC3425081	21
WMC3425083	42
WMC3425084	25
WMC3425085	4
WMC3425086	2
WMC3425088	2
WMC3425091	50
WMC3425093	1
WMC3425095	1
WMC3425096	48
WMC3425097	28
WMC3425098	27
WMC3425099	5
WMC3425100	42
WMC3425101	29
WMC3425102	6
WMC3425103	29
WMC3425104	21
WMC3425107	8
WMC3425108	1
WMC3425109	3
WMC3425110	30
WMC3425111	13
WMC3425113	28
WMC3425116	14
WMC3425117	15
WMC3425118	23
WMC3425119	20
WMC3425120	9
WMC3425122	23
WMC3425123	5
WMC3425124	1
WMC3425125	49
WMC3425126	29
WMC3425127	15
WMC3425131	15
WMC3425132	28
WMC3425133	18
WMC3425134	9
WMC3425135	1
WMC3425139	5
WMC3425141	12
WMC3425142	8
WMC3425144	1
WMC3425145	8
WMC3425147	19
WMC3425148	3
WMC3425149	28
WMC3425151	1
WMC3425152	17
WMC3425154	4
WMC3425156	5
WMC3425157	45
WMC3425158	14
WMC3425163	4
WMC3425166	50
WMC3425167	22
WMC3425172	28
WMC3425173	31
WMC3425175	20
WMC3425176	15
WMC3425178	15
WMC3425179	6
WMC3425180	7
WMC3425181	4
WMC3425187	28
WMC3425189	27
WMC3425190	8
WMC3425192	12
WMC3425195	1
WMC3425197	35
WMC3425199	20
WMC3425201	41
WMC3425202	35
WMC3425203	1
WMC3425205	3
WMC3425206	13
WMC3425207	22
WMC3425208	27
WMC3425213	35
WMC3425215	9
WMC3425216	1
WMC3425217	28
WMC3425218	5
WMC3425220	3
WMC3425221	5
WMC3425223	4
WMC3425224	48
WMC3425226	21
WMC3425227	43
WMC3425228	6
WMC3425229	8
WMC3425231	43
WMC3425232	17
WMC3425235	6
WMC3425236	2
WMC3425237	25
WMC3425239	14
WMC3425240	27
WMC3425243	43
WMC3425244	3
WMC3425251	2
WMC3425252	30
WMC3425255	30
WMC3425260	19
WMC3425262	4
WMC3425263	9
WMC3425267	21
WMC3425269	12
WMC3425270	2
WMC3425271	18
WMC3425275	24
WMC3425276	2
WMC3425277	22
WMC3425279	21
WMC3425280	12
WMC3425283	17
WMC3425287	6
WMC3425289	1
WMC3425290	33
WMC3425291	44
WMC3425292	5
WMC3425293	9
WMC3425294	5
WMC3425297	23
WMC3425298	28
WMC3425300	1
WMC3425301	7
WMC3425303	4
WMC3425304	5
